id,name,common_name,calories,protein,carbs,fat,sodium
D1900203,黑美人西瓜,"水瓜,寒瓜,夏瓜",36,0.9,9.1,0.1,2
D1900204,鳳光西瓜,"水瓜,寒瓜,夏瓜",27,0.7,6.5,0.2,1
D1900301,無籽西瓜,"水瓜,寒瓜,夏瓜",33,0.9,8.2,0,1
D19004,西瓜平均值(黃肉小瓜),"水瓜,寒瓜,夏瓜",29,0.7,7.3,0,2
D1900401,小玉西瓜,"水瓜,寒瓜,夏瓜",34,0.8,8.7,0.1,2
D1900402,金蘭西瓜,"水瓜,寒瓜,夏瓜",24,0.6,6,0,1
D1900501,嘉寶瓜,"水瓜,寒瓜,夏瓜(嘉寶兵瓜)",40,0.8,10,0.2,9
D20001,甜瓜平均值(光皮洋香瓜),"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜",30,0.9,7.2,0.1,13
D2000101,太陽洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜",32,1.2,7.8,0,3
D2000102,狀元瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜",27,0.7,6.6,0.1,18
D2000103,蜜世界洋香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜",29,0.7,7.1,0.1,19
D20002,甜瓜平均值(東洋系脆瓜),"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜",37,1,8.9,0.2,9
D2000201,美濃瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜",37,1.1,8.8,0.2,8
D2000202,黃香瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜",30,0.6,7.5,0.2,16
D2000203,嘉玉甜瓜,"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜",43,1.3,10.4,0.1,4
D2000301,洋香瓜(新世紀),"網仔瓜,哈密瓜",39,0.7,10.1,0,9
D2000302,新疆哈密瓜,"網仔瓜,哈密瓜",28,0.7,6.9,0.1,29
D2000303,洋香瓜(卡蜜拉),"網仔瓜,哈密瓜",38,0.6,9.5,0.2,12
D20004,甜瓜平均值(網紋洋香瓜),"甜瓜,甘瓜,果瓜,香瓜,梨仔瓜,澎湖瓜,洋香瓜,網仔瓜,哈蜜瓜",37,0.9,9.3,0,13
